                t, ÷               x, km               y, km               z, km            Vx, km/s            Vy, km/s            Vz, km/s             x_m, km             y_m, km             z_m, km          Vx_m, km/s          Vy_m, km/s          Vz_m, km/s
             -58.839             827.418            -5974.36            -2590.08             10.3637             2.50018            -2.45625             -250067             -289370              -92488             11.2237             2.03198            -2.71548
             -57.839             18270.8               14434            -442.536             2.07698              5.1429             1.30765             -229755             -270954            -91374.6             2.94222             4.68232             1.05097
             -56.839             23372.1             30695.1             4176.63             0.98753             4.03465             1.23806             -221764             -256660            -87781.5             1.85791             3.58175            0.983943
             -55.839             26133.8             44085.9             8456.29            0.596232             3.45418             1.14235             -216091             -245211            -84519.7             1.47167             3.00901            0.890825
             -54.839             27880.3             55806.8               12424            0.392505             3.08058             1.06485             -211412             -235407            -81561.6             1.27294             2.64319             0.81595
             -53.839             29051.2             66390.2             16141.1            0.266816             2.81207             1.00231             -207288             -226713            -78845.8             1.15217              2.3825            0.756054
             -52.839             29848.9             76127.5             19653.6            0.181299             2.60569            0.950584             -203517             -218840            -76326.1              1.0715               2.184            0.707001
             -51.839             30384.5             85199.4             22994.8            0.119283              2.4398            0.906791             -199987             -211606            -73969.1             1.01426             2.02602            0.665904
             -50.839             30725.6             93727.7             26189.6           0.0722503              2.3021            0.868978             -196631             -204889            -71749.9            0.971927             1.89629            0.630812
             -49.839             30916.8              101799               29257           0.0353777             2.18501            0.835803             -193405             -198603            -69649.4            0.939679             1.78722            0.600382
             -48.839             30988.9              109478             32211.8          0.00572453             2.08357            0.806312             -190279             -192681            -67652.6            0.914574             1.69384             0.57366
             -47.839             30964.4              116815               35066          -0.0186078             1.99436            0.779807             -187230             -187075            -65747.4            0.894714             1.61273            0.549949
             -46.839             30859.8              123850             37829.4          -0.0389017             1.91495            0.755767             -184242             -181745            -63924.1            0.878816             1.54147            0.528727
             -45.839               30688              130613               40510          -0.0560551             1.84353            0.733792             -181302             -176658            -62174.3            0.865981             1.47824            0.509592
             -44.839             30459.2              137131             43114.8          -0.0707163             1.77874            0.713567             -178401             -171788            -60491.3             0.85556             1.42169            0.492233
             -43.839             30181.3              143426             45649.5          -0.0833654             1.71954            0.694846             -175530             -167114            -58868.9            0.847073             1.37077            0.476399
             -42.839             29860.9              149517             48119.2          -0.0943655              1.6651            0.677427             -172684             -162615            -57302.1            0.840156             1.32465            0.461891
             -41.839             29503.5              155420             50528.3           -0.103996             1.61475            0.661146             -169856             -158278            -55786.5            0.834529             1.28266            0.448544
             -40.839             29113.5              161148             52880.7           -0.112477             1.56796            0.645868             -167044             -154086              -54318            0.829972             1.24427            0.436222
             -39.839             28694.8              166713             55179.7           -0.119982             1.52428             0.63148             -164243             -150029            -52893.2            0.826309             1.20904            0.424813
             -38.839             28250.6              172126             57428.3           -0.126652             1.48336            0.617886             -161450             -146095              -51509            0.823402              1.1766             0.41422
             -37.839             27783.8              177396             59629.3             -0.1326             1.44488            0.605004             -158663             -142276            -50162.6            0.821134             1.14664            0.404361
             -36.839             27296.7              182532             61785.1            -0.13792             1.40859            0.592765             -155880             -138561            -48851.4            0.819413             1.11891            0.395168
             -35.839             26791.4              187540             63897.9           -0.142689             1.37426             0.58111             -153099             -134945            -47573.2            0.818159             1.09317            0.386579
             -34.839             26269.9              192428             65969.7           -0.146973              1.3417            0.569985             -150318             -131420            -46325.9            0.817307             1.06925            0.378542
             -33.839             25733.7              197202             68002.4           -0.150827             1.31075            0.559345             -147536             -127980            -45107.5            0.816802             1.04696            0.371011
             -32.839             25184.4              201868             69997.5           -0.154295             1.28126            0.549151             -144751             -124618            -43916.3            0.816598             1.02618            0.363946
             -31.839             24623.2              206429             71956.8           -0.157418             1.25311            0.539366             -141963             -121331            -42750.7            0.816655             1.00677            0.357312
             -30.839             24051.4              210891             73881.4            -0.16023             1.22619            0.529959             -139172             -118113            -41609.2            0.816938            0.988619            0.351076
             -29.839             23469.9              215259             75772.9           -0.162759              1.2004            0.520904             -136375             -114959            -40490.4            0.817419            0.971635            0.345212
             -28.839             22879.8              219536             77632.3            -0.16503             1.17566            0.512174             -133572             -111867            -39392.9            0.818071            0.955728            0.339693
             -27.839               22282              223725             79460.9           -0.167064             1.15189            0.503747             -130763             -108831            -38315.7            0.818873            0.940822            0.334498
             -26.839             21677.2              227830             81259.7           -0.168881             1.12901            0.495604             -127947             -105849            -37257.4            0.819806            0.926847            0.329605
             -25.839             21066.3              231855             83029.6           -0.170496             1.10698            0.487727             -125124             -102916            -36217.2            0.820853            0.913741            0.324998
             -24.839             20449.9              235801             84771.6           -0.171924             1.08572            0.480099             -122294             -100031            -35193.9               0.822            0.901448            0.320658
             -23.839             19828.6              239673             86486.6           -0.173175             1.06521            0.472705             -119455            -97190.3            -34186.6            0.823234            0.889917            0.316572
             -22.839             19203.2              243472             88175.3           -0.174262             1.04538            0.465533             -116608              -94391            -33194.4            0.824544            0.879104            0.312726
             -21.839             18574.1              247200             89838.7           -0.175191              1.0262             0.45857             -113752            -91630.7            -32216.5            0.825923            0.868967            0.309107
             -20.839               17942              250861             91477.3           -0.175972             1.00763            0.451805             -110888            -88906.9            -31252.1             0.82736            0.859469            0.305704
             -19.839             17307.3              254456             93091.9            -0.17661            0.989646            0.445228             -108014            -86217.6            -30300.3             0.82885            0.850576            0.302507
             -18.839             16670.6              257987             94683.1           -0.177109            0.972209             0.43883             -105131            -83560.3            -29360.6            0.830388            0.842257            0.299507
             -17.839             16032.3              261457             96251.6           -0.177475            0.955295            0.432603             -102239            -80933.2              -28432            0.831969            0.834485            0.296695
             -16.839             15392.9              264866             97798.1           -0.177709            0.938879             0.42654            -99336.8            -78334.3              -27514             0.83359            0.827235            0.294064
             -15.839             14752.9              268217             99322.9           -0.177813             0.92294            0.420634              -96425            -75761.7              -26606            0.835249            0.820484            0.291606
             -14.839             14112.8              271512              100827           -0.177788            0.907458            0.414879            -93503.2            -73213.6            -25707.2            0.836945            0.814211            0.289316
             -13.839               13473              274751              102310           -0.177634            0.892416             0.40927            -90571.4            -70688.2            -24817.2            0.838678            0.808399            0.287188
             -12.839               12834              277938              103774           -0.177348            0.877799            0.403803            -87629.2              -68184            -23935.2             0.84045            0.803032            0.285217
